doc_id,C,E,F,A,B,D
0,4.021449695240837e-18,1.7319286332386758e-20,2.2438726110469673e-13,0.019170759430886957,1.0604539378807971e-20,1.4332134800946088e-23
1,2.6184699554448328e-17,8.929786164010988e-17,7.618862126339558e-24,0.01872623677748268,1.695063417240176e-20,3.0333849076380753e-12
2,1.1339232192291092e-19,4.3804959076993337e-26,3.536981647736673e-31,0.019060670417525967,2.8262596808239424e-23,2.952895009964444e-25
3,1.2968685139732032e-15,2.0366835597790368e-17,3.91177398890421e-28,0.020361406018529718,1.0291279682495199e-18,3.997774365833767e-11
4,4.841462031790743e-14,4.098453420530882e-17,2.8633575717068357e-16,0.015302435803960122,0.0034610821437636966,3.672304060028261e-21
5,1.950918185581313e-12,2.1819517885635027e-20,9.446364039273565e-22,3.601723942792252e-15,0.015372673907269976,4.081473182886954e-21
6,2.8859197132883785e-18,1.2722921265654416e-27,1.8239261115168183e-23,1.8666431736328425e-20,0.019595297283412368,1.2180035571959793e-22
7,8.044214654334324e-22,3.2265052956463443e-34,1.4955755918062074e-33,6.660924985813258e-26,0.01835355778419088,4.674419409803009e-25
8,9.33158856549311e-19,1.6998847318426432e-23,6.628974401699094e-32,2.189375668966476e-22,0.017528437768543872,1.8820649437287467e-21
9,6.3619829932727675e-16,1.744605510161835e-20,2.159241983497096e-22,8.142566496017824e-12,0.019162480534659618,3.6430418299356273e-22
10,0.0014427636332217304,6.895102478093022e-22,6.17125418681838e-24,0.014773769885763736,2.438251300075138e-05,2.7886402538271725e-17
11,0.01778377175217223,6.247373552346864e-23,3.2223123553355577e-12,1.7504579942668335e-20,1.0789284448233394e-20,1.4199105299382928e-14
12,0.01924005933831381,7.156673845241712e-20,1.2152150755502625e-19,2.4776757227211825e-23,1.3842376129338427e-11,1.6479966541180814e-07
13,0.01825446211116986,8.647648604151504e-20,3.680179335790152e-22,8.487727882274248e-24,7.703342791126359e-21,3.921615205094428e-13
14,0.016406044170355107,5.042520369967524e-22,6.17942605697995e-17,9.326761268029628e-22,1.3843621343818796e-16,1.122618259370356e-18
15,0.020149199605114698,1.0446336872065406e-22,2.94051621131686e-10,2.7000727817293367e-20,1.1860321776509134e-16,3.260479842404836e-19
16,0.0188417194030233,1.5559283975743997e-27,1.9776671297269048e-22,4.360939032234957e-23,1.6373315533682028e-09,6.401271222403541e-18
17,0.017857674640704844,1.4301782532654324e-22,3.4852225152201245e-20,2.6098812017002486e-23,2.0201187217795796e-17,3.745807026341882e-18
18,0.01794003668188065,8.814644752449552e-19,3.388510748336881e-24,4.0370522176006514e-21,3.7067411320516504e-13,4.406068659041853e-20
19,0.018569926557826275,1.1863050445612348e-23,1.9979392529844524e-29,2.5601554823407897e-21,1.0405964928660524e-22,1.3382629079103649e-21
20,0.01897924094778612,3.3022368729684613e-16,9.484344806721065e-23,8.608583977117797e-22,1.552113155380562e-22,5.4605162755378856e-17
21,9.790454901613818e-11,4.549201545098083e-08,4.924572101575753e-22,1.6030202315254019e-16,6.102006425710859e-16,0.017162301467920416
22,4.81419330728052e-11,1.5666288615370835e-26,8.847451611840057e-27,1.8896275338328906e-24,1.7400824753429874e-19,0.0199751074286149
23,2.640302019063356e-15,3.1772718706985874e-22,2.940766119277244e-27,3.9435578563662146e-27,6.44585580279567e-10,0.013198301512143558
24,2.7069459690206405e-10,7.63498900711846e-21,1.152873780791292e-21,3.1478339542123963e-19,5.379476494445554e-19,0.018996315021351785
25,5.783662461642466e-08,2.757897760561591e-27,1.4620057556745588e-26,8.473687421184638e-31,5.549628569140595e-11,0.012742477325002714
26,1.4525081336217127e-07,7.848440611916339e-18,6.70623954377649e-24,1.4853610350855297e-26,0.013423777140113686,0.002757022117012859
27,3.3926711104690153e-13,4.3153142833214647e-19,8.124798342637712e-22,5.537231215087999e-21,3.3690272562659253e-15,0.01662186238313166
28,0.020307994147136563,1.9064387003066103e-12,5.303061264734294e-26,5.2422032968411306e-20,1.6924974657865607e-12,4.050030800842966e-11
29,0.019154922320834638,6.173390024967184e-26,1.4251343124517652e-20,6.6250195534958546e-18,1.603453914638493e-18,1.4029069562761202e-12
30,3.4156640387506222e-15,4.854079369562304e-22,3.9901334811282287e-23,1.8188199376940633e-22,9.187207023653136e-13,0.02069964025562399
31,4.108565650102045e-19,5.30292501759411e-26,1.0586876711397373e-19,5.345276765085299e-31,2.602503299141895e-20,0.020798875562033716
32,8.779855770679031e-11,1.802680423647561e-19,2.98107562396762e-12,7.494295431178403e-23,1.3435096899160887e-17,0.01830154820561421
33,0.019779529094440237,7.645119907966297e-14,1.1889299931993941e-08,5.740369247209865e-13,1.0392943037923475e-21,4.208810371401319e-14
34,6.846812967556373e-17,5.335269278796586e-14,5.008062119972172e-17,0.017761730999204733,1.1263021465342557e-17,6.9452690537672616e-15
35,3.0893398124884603e-18,2.680696571093324e-08,5.461571370088106e-23,0.02002804360913953,1.517358672356126e-22,2.600179322498983e-16
36,1.1379356804064951e-17,0.0004630910605023722,0.0009894001407710288,0.017559134985283976,7.2039124457496515e-25,2.116021280512535e-26
37,2.0605735574762326e-11,0.018489621511840953,2.462836784926436e-10,3.314168616768796e-09,2.4183269646851234e-10,3.190299398150779e-12
38,2.0128415659957066e-07,0.01684578900494198,1.8277228996767067e-26,1.531543577638372e-15,7.651910681304489e-16,3.324444180159223e-08
39,7.300059108106142e-16,0.018877732643999556,1.81920862567089e-22,4.8343700881607657e-20,5.435177271278781e-12,3.731719778562209e-14
40,4.605737723488114e-15,0.018960040877495477,6.825818961466397e-17,6.470362410863495e-16,7.250030650476142e-10,1.7315405377820833e-21
41,4.627757861697689e-17,0.017447980221816612,2.866545925959869e-16,7.286630682231752e-20,1.5933510228733732e-26,7.608821384022366e-23
42,5.443696311345256e-17,0.01850414794739171,3.2981117418495247e-21,5.781434859323717e-15,7.727899774493739e-19,5.659549379905103e-23
43,3.2503942940917985e-18,0.018788478635990147,2.4767054406869128e-22,1.9102926331690437e-21,6.198969506325037e-25,5.659847536678959e-29
44,5.219438844473558e-19,0.017694550853355407,2.075564965408482e-24,3.892608034931146e-21,1.4089711972905005e-14,1.3063353785243907e-18
45,1.127368964960204e-12,0.016647132741038104,4.61050912331781e-17,1.6175180255262382e-20,5.00218008164318e-11,2.5525682905903905e-14
46,1.0332076288075146e-15,2.1264343190491903e-07,7.850360273523614e-20,2.6074152107053214e-26,0.015693226105321402,2.53937287754876e-14
47,3.66470188875341e-17,0.0018303097258295321,1.797727859511099e-15,4.904519193416983e-23,0.014392265771433028,2.290975216425161e-18
48,3.2343984270516085e-15,0.018631064847005375,3.716015242525107e-20,3.2371259353390866e-23,1.3748420340616233e-18,1.4534566528289018e-19
49,3.8522712006215157e-13,0.01748002780127662,5.558076758990598e-16,1.707755088320947e-20,6.056222922814045e-13,8.91793545214091e-19
50,1.6451682998344398e-15,0.01988612666674102,1.7748670764513515e-13,2.205139919747561e-13,3.3133963138988264e-18,2.903250836450365e-20
51,5.592309750908747e-15,0.01855503581136037,0.0007309096548292432,2.0145962234495075e-24,4.935396232137446e-22,2.8916265430323723e-22
52,1.1931091908290128e-20,1.611334549456596e-15,0.01858883971211711,4.957388696772457e-26,2.7151968563448004e-22,1.442995655195133e-27
53,1.450424884649184e-19,5.72259312637761e-18,0.01942583336334529,3.9777505971339806e-24,4.087094447639816e-21,1.8277503877981392e-26
54,5.314693163554259e-19,2.2612056651327592e-20,0.01573503916881971,2.4742346515280177e-28,5.9286120611801006e-24,2.05777469949069e-21
55,4.831979545839375e-13,8.72536902747244e-14,0.019823019548915508,1.4560630659678518e-24,5.706710128851585e-18,1.918558993161476e-22
56,1.2149916267898952e-15,4.272591544847004e-20,0.016496640817271816,1.0029642170726196e-23,1.3034090421042996e-16,2.3552331618181022e-24
57,2.7107784167366455e-18,2.3361117535732202e-11,0.0193899245527809,4.3977770550628103e-13,1.3280917159324264e-20,2.774593978335465e-23
58,2.5509357554483543e-26,2.116146019832723e-09,0.0192473999458842,2.5682964358156555e-24,2.6555724628603324e-28,8.294951473142849e-29
59,2.2855881671841147e-20,5.054162939339847e-14,0.011113445810500496,3.211581343343053e-20,1.7839150878489043e-26,5.670792799135875e-30
