para_num,0,1,2,3,4
0,0.20868564611042337,-0.020584602860422168,-0.25798634485848576,0.020605905909731617,0.10639337295657066
1,0.31412634493379504,0.08340057123837027,-0.14873669059619898,-0.0812772749677409,-0.1257757463270864
2,0.1441534995793372,0.00179594643147592,-0.35032327851086575,-0.17175960826259287,-0.2534335680559666
3,0.23232841179364158,-0.014447346268015424,-0.33050096411337465,0.008141781234501475,0.04765052610300299
4,0.022074429826935006,-0.0340729914582296,-0.29142608551849153,-0.05323470692899242,-0.19732056873974832
5,-0.17009405242113057,-0.065326295917522,-0.16318626583034024,-0.209604830199449,-0.1274525511506694
6,0.009612351299695999,0.012998064513860628,-0.2427846367120876,-0.011571942832495583,-0.096183266995769
7,-0.25237304826696827,-0.06622971898096582,-0.16911278348661052,-0.19775835801826896,-0.16846456336908414
8,-0.145977909358235,-0.03515776875139239,-0.18299274949322605,-0.2642875233747504,-0.18298411645465712
9,-0.24985706607039543,0.004210979930664055,-0.05721940091688464,-0.16541034241269098,-0.1260536853432878
10,-0.08217323694042034,-0.06465434528872238,-0.21261030802993436,-0.13280126285906493,-0.03147764404270061
11,-0.1501338018869143,-0.13342624626415983,-0.1493474132181408,-0.007533284699097546,0.047603955562990075
12,-0.2742120679886529,-0.2436111923674717,0.04743293624972473,-0.0019196169397442371,0.025008881362635366
13,-0.2819239386724134,-0.1904628329119906,-0.05374389883832344,-0.0043713850820386695,-0.0005595645796174791
14,-0.20504156874424756,-0.20485914667580404,-0.11572749386026249,0.07784105145317292,0.03774691765643903
15,-0.2774835304097489,-0.24265662528982085,-0.030339506514502818,0.029764939485542458,-0.009398753766524428
16,0.015216264567403971,-0.15786341778160037,-0.16459300646755046,0.09750371027215612,-0.010125337504326605
17,-0.19025860580204498,-0.22158097000519986,0.09836659910427888,0.006193241889727589,-0.012537351292112288
18,-0.14311466620858374,-0.2614598685778686,0.07896190904957942,0.09561714213347973,0.10235402034250635
19,-0.24141660568332188,-0.296894489436136,0.09158248954568883,0.16432427173611686,0.027298359087569547
20,0.30805115320355997,-0.14216844707772966,-0.00871417109021192,0.1718788008387619,-0.07087076020119115
21,-0.17791369381082758,-0.26087257642718475,-0.0011211965510133201,0.061294811409659145,0.016038703767503146
22,-0.25530354777654074,-0.2561520123418712,0.04830211762831286,0.051791546612987106,0.11760203957409837
23,-0.23426300847274337,-0.2503574735502622,-0.03882023929015528,0.12069764536960019,-0.02915737774120123
24,0.16672533295474576,-0.21717485652656487,-0.1793693647898671,0.24096569183072028,0.06206934758971697
25,-0.3177587943145805,-0.25479549506050675,0.06108226899301812,0.08805576771071816,-0.08467037436627083
26,-0.287094759422926,-0.19757699323044325,0.011167052915200572,0.03147800729374114,-0.03298185795855718
27,-0.3891854159188287,-0.18860595866341268,0.054440886328854625,0.04261489271553904,-0.030410291439493756
28,-0.20597901863598805,-0.1843180276590057,-0.0009766062279259352,0.05143066969988937,0.008414798458119412
29,-0.19411379197487513,-0.25428347800855,-0.013604297761351547,0.1250021451940482,0.1451113544776482
30,-0.16932428796114876,-0.20974312627336336,-0.05254789645601959,0.09093090254049054,0.12833095010553205
31,-0.35234617191046874,-0.2939704725574635,0.10797149136866711,0.08220420728604912,0.04634130009676214
32,-0.007999898309161084,-0.09517719422132284,-0.06640500468773851,0.1585819949623633,0.023740345776667872
33,-0.09175068843628198,0.016591009620067716,-0.006661553629630973,0.22381195574745996,0.019091292396936035
34,-0.05007986283450515,-0.06678591200341875,-0.08268649551041543,0.08038367081566791,-0.020510591989037305
35,-0.2781522997625803,-0.23751683971031903,-0.025226239224896904,0.09091185875877435,-0.0003119608296729365
36,-0.19758827282325775,-0.2577199051313894,-0.020727452343843437,0.1800302971672461,0.07467206339540085
37,-0.299386348792211,-0.15361064321463985,0.041531607290662104,0.011892580877807127,0.016317316115998872
38,-0.1109806000287119,-0.07469138581803014,-0.007755277031845389,-0.05309981401879644,0.08301994287635873
39,-0.14187816046888235,-0.16314377898117347,0.12373693877198699,-0.023455310053046668,0.1699201973128433
40,-0.1901271305894002,-0.2338851262445653,0.23580814335138814,-0.02398100936397407,0.08948929414676679
41,-0.21499721054524557,-0.24492912137809708,0.18557696015264766,0.03229301716869472,0.06234951176763269
42,-0.18423036284031405,-0.11672074208523836,-0.054860042254815264,-0.060836706632849916,-0.05242604380640065
43,-0.19175173292518874,-0.06318393200020422,-0.12043313247004384,-0.10442299469784502,-0.04745905544721658
44,-0.03580932682635512,0.01824813535881565,-0.2756580658341913,-0.17079205362453476,-0.15737649055783307
45,0.2582346533628718,0.05779778853653809,-0.3071859110110741,0.10924313442635243,0.004154700549467427
46,0.07546972548993995,0.022845485319858,-0.24664600187723137,0.01526219684573072,-0.0031716965087482257
47,0.05454566174941822,0.2340539531763188,-0.06683160417997103,0.29127456973420945,0.02202044378320919
48,-0.09871631801661036,0.08800357457821907,-0.2240366153574337,-0.15727511176460082,-0.20690960280554338
49,-0.00026713882267354375,-0.07041561097679026,-0.2712130826672842,-0.07349264215617331,-0.09299893678884129
50,-0.0643385048574689,0.012545332030064943,-0.22455452821069563,-0.20306434363256637,-0.1207055962037266
51,-0.24021199426970954,0.2993880221688576,0.029026613230143637,-0.09329339004652602,-0.16775301255539876
52,0.07626839383740738,0.43761717228327557,-0.06944789296075041,0.3411094893667075,0.009020392573041342
53,0.014693805668951978,0.3748836617607606,0.004276398438363443,0.31704317896985174,0.027929496984465653
54,-0.27377422981153404,0.16654497050934877,0.09247943747605093,0.03191927301116516,-0.03306395221401333
55,-0.2821812825418009,0.3039677699508529,0.10027815597660686,0.2421726831770476,0.03379006184535609
56,-0.3385059767288433,0.34649506739330543,0.14135611017388997,0.15568392485199434,-0.006611831355843408
57,-0.008438097639326972,0.08857149848971331,-0.06627714195968801,-0.04464716478472636,-0.031880153500138175
58,-0.16703728874264842,0.17188694449651815,-0.026652543750352923,0.004101442119510661,-0.09583324477984133
59,-0.2204814170248254,0.3944308306606452,0.019270911141163426,0.16006359329998518,-0.11112735052179668
60,0.25942420105662,0.09205710145889283,-0.30105374410382263,0.08335726700809419,0.04925521021278001
61,-0.26706818270412813,0.3444864889698954,0.03856077492618574,0.06632220153266247,-0.11150613308737353
62,-0.3597865867809171,0.14435964870128304,0.1700370330203399,-0.04773976312567818,0.030161388057702555
63,0.13298897914159227,0.5209441911938698,-0.07140406898353721,0.4097823795977367,0.04970005723511815
64,-0.26384267549553225,0.2060370583107304,0.15975235137241794,0.07756941265969193,0.003891505268369391
65,-0.29295618332513707,0.05071960953693749,0.18617322551313634,-0.07981575651272482,0.048299120607000125
66,-0.20728643167384225,0.20507533836573588,0.16922017481749155,0.06151004122960372,0.10496507502527118
67,-0.22245196765253394,0.2194210957379192,0.2119085258581604,0.08523053860586009,0.046436487285117664
68,-0.308569338839578,0.32880016341044566,0.12528810510245805,0.11418451305133949,-0.014031463061489013
69,-0.2993961894677299,0.34049568574688366,0.11219548324042951,0.0280989036983251,0.007073760535769863
70,-0.28075067663804115,0.2550092773434505,0.08855722977973134,-0.05432375257030476,-0.04117239982342107
71,-0.07877251754917465,0.19363862217648625,0.06796306325141832,-0.016271302063325176,-0.09777970506077133
72,0.12874008067369955,0.07432703294120625,0.041023603957404405,-0.060908034100491476,-0.05006886594486551
73,-0.19849889200814247,0.25999163694802685,0.05804579021871612,-0.1254351387715642,-0.08053531978589422
74,-0.08736989838649331,0.09798401555743191,0.2675478946215655,-0.2731058440730537,-0.02200773051303754
75,0.016936854906959318,0.09422047112291741,0.19483603014874246,-0.3102897959096105,0.31654141289989307
76,0.3719943531580708,0.07923426276120703,0.025972264206112185,-0.10712768853939346,-0.049311064837609525
77,0.23890135750875338,-0.03625862109116762,0.003435533218415369,-0.099067401539126,0.4496377317030119
78,0.4343475845669664,-0.027572355673949035,0.14917739136899805,-0.083041579733963,0.05866874870685011
79,0.6022786149426885,-0.08778300401274576,0.42834391556245854,-0.018362130094283106,-0.2000020840073152
80,0.24558082655536112,-0.043361189185347815,0.023044961451086938,-0.10171503166301307,0.19618853199437777
81,-0.0037926980684526677,0.04431397753546508,0.26590835137255847,-0.3064663873223402,0.08484801935766302
82,-0.03793446589631667,0.12631355529142912,0.05705630794410334,-0.15353502409859962,0.04597444380482583
83,-0.0914272118868066,0.04103421540429575,0.1753983305003388,-0.3777958278587481,-0.03843188565747216
84,0.06831718886054654,0.13874345120614612,-0.14700508920754385,-0.0484993940991335,-0.08991953549308256
85,0.22918151657705102,0.07516338710584083,-0.007011263344078216,-0.28555042686704674,0.010560971218390624
86,-0.035194404024500935,0.14958107663132117,0.19055523483167575,-0.24163786299104054,-0.07776639187111949
87,-0.026997413096530636,0.15406522869044503,0.007295665507040284,-0.33733239787400027,-0.02207793411290849
88,0.14331011083477344,0.23529895043281998,0.050790497792910665,-9.704024368990653e-05,0.2957131266971326
89,0.3651375380482855,0.03619451745087564,0.11639375120650075,-0.08645393825624849,0.2657420412245375
90,0.30189334426588316,0.026710014297931916,-0.11366590651192648,-0.04221656492911712,0.4448026280949083
91,0.2615564482118599,0.14754739847744625,-0.11349216071244835,0.04715839222809041,0.2646981835355338
92,0.37255856916539987,-0.038521127479354295,-0.10896712460596163,0.015675081573086065,0.2220668526456154
93,0.3498350444546343,0.006227659636071567,-0.1526107127470377,0.012684490411235804,0.2746467399308643
94,0.32274911474138895,0.016634793297413537,-0.07391152036817117,-0.056550383105748524,0.07217567554294646
95,0.40902923752239706,-0.03662245194693721,-0.004184608062738497,-0.014769627582625624,-0.02821855722959535
96,0.2639638576990335,0.06050809613770327,-0.2622561509941265,0.11435596016488529,0.03080014660617306
97,0.3953814613380476,-0.09221299837863389,0.16642675453141142,-0.057566664755678856,0.02520505212679015
98,0.46532964824912776,-0.20442599316458318,0.1830653010986506,0.2625263116351699,-0.34834657843769545
99,0.17316436359912143,-0.030290180153722056,0.019305666721167403,-0.0540450818275703,0.33957402860625524
100,0.3208994309655791,0.09821867690417511,0.06816722388115937,0.032833192423076314,-0.1643466163584239
101,0.4439952243013777,-0.026027168312159586,0.3156964742903872,-0.054378066692091255,-0.13928075743927287
102,0.5255181412319592,-0.26523930293102205,0.3313162115064775,0.25770867089511845,-0.376400693746243
103,0.4946518032104302,-0.14005853045788355,0.22231285197945536,0.028681084176800903,-0.06918820451409395
104,0.33578105816365283,-0.15258800238582437,0.15355045719623234,0.21871869883960562,-0.20526178247375995
105,0.39447578790130616,-0.08395913201031271,0.07880740461027487,0.19380451417321834,-0.14264192645027005
106,0.527249258650565,-0.03198083146091418,0.21975930282017186,-0.16506597204723322,-0.15043971529010472
107,0.21881060731007976,0.09557706042988058,-0.12002980642982922,-0.09872403824156452,-0.05921903287940009
108,0.28395518359205973,-0.05722268103868257,0.13909717355294238,-0.14653905297922787,0.024844751679396346
