chap_num,D,C,E,F,B,A
1,4.702477726233651e-15,4.883069652252451e-18,4.767207774056353e-20,1.2597939657595163e-25,2.8329677470325967e-19,0.018803924868433616
2,0.000641584179521661,0.009602308555567539,0.00032986084026888785,1.2194777424814857e-12,0.003910150598534803,0.004245466410181051
3,0.0005065937546003043,0.010941313706694543,2.2631041105418193e-13,2.262477848455146e-09,0.007175651586543357,1.4006712820027078e-10
4,1.8001040918064028e-08,0.016334740248039884,3.854890198925022e-13,4.768895916163621e-09,0.0019510427183556912,8.33777384544182e-05
5,0.0017596521526909447,0.014716082519808238,9.636554829401048e-12,1.453372863732316e-17,3.004108433705794e-12,0.0021992439771584926
6,0.01082746097269159,1.0239544488401569e-19,5.194705586248582e-14,3.9185722873277323e-16,0.0033190808630353744,0.005508102717208746
7,0.0005703251864724457,0.0008765481135444329,0.007081226917237922,1.8882834917621123e-09,2.3909174332922435e-12,0.010571681558317676
8,0.006573607647268769,0.012477958991711141,5.2976510145028843e-08,2.1764486465053743e-08,2.7557059793433015e-11,2.015211855790629e-13
9,0.0007214696211452767,0.016762814949363616,8.737718458896005e-17,3.2008830111387476e-12,1.0922245419590682e-25,7.975895836609182e-20
10,0.01390512432989815,1.2005694003045096e-18,0.006033886402238142,2.945754519652042e-16,3.2422637912118904e-20,1.5395042936515387e-18
11,0.00011049363458996634,1.4715583440006796e-22,0.018457495415577688,2.6618778398033936e-22,3.6801539082810136e-20,1.5084333256594175e-20
12,0.002841281002532692,1.0229028058105814e-13,0.0021550612742755313,1.647665888708927e-12,0.011426406758168771,7.451550648529027e-14
13,0.01179280374218739,2.340098185976045e-13,1.7933243829079865e-07,6.805150804764088e-12,0.00913523359508111,1.3843249188384108e-13
14,0.006064579990989794,6.684217750701675e-15,0.00016276936990802945,0.010084262248063943,0.00452299558514791,1.0648812743248417e-09
15,0.009863290020779581,1.575021353579683e-17,0.00012270150290340294,0.007602124120795993,0.0032136108745485,9.728412123820053e-10
16,0.012554156570248156,0.0011794568349975001,2.532330529403489e-14,2.3376594992046985e-13,0.0008129940203533379,0.006530610334904231
17,0.00040871210197578625,0.0010855624514982897,1.0723831869797964e-11,8.092841116064693e-06,0.0007482732491703982,0.018037660348702057
18,0.00011245430839346219,6.630722344002452e-24,5.70794510665343e-10,2.2290572125052503e-06,0.0009134245531160214,0.01831292818038758
19,1.8783750385321407e-19,2.920058152492052e-31,1.139886566040258e-08,4.701027868182571e-21,0.018335924067426776,2.3446079945827217e-23
20,3.097086659943276e-18,3.663441761718256e-27,0.008212679779157003,1.5740092897691297e-20,0.0023945076557701905,0.008780759931884595
21,1.6800485336773007e-13,2.778681212741805e-28,0.0006229292843681718,2.152039266365816e-15,0.019075802094446693,0.000666018113342583
22,0.010574045120620107,1.3554927131414805e-07,1.6960196871941262e-14,0.007642584164409861,0.003144828772145123,8.196870387872556e-16
23,0.003150866313313478,0.004552752464106864,2.8488552000756037e-06,0.012228895132812528,8.993474055061896e-08,1.0196812523915722e-11
24,2.3220852067229666e-07,0.0031650005194587827,1.5022990968134482e-06,0.016303244273063358,4.742415613361447e-08,5.550040232417409e-12
25,2.0102065410284407e-07,0.0007366124671652667,0.006699368233403197,0.01156902357238529,3.979765858498921e-19,1.8013142950470914e-13
26,4.4681615307862067e-14,1.4164732816508322e-23,0.01655159178594207,0.0014828665509974742,2.0284579979451446e-18,2.1670606912233054e-14
27,1.4412623764912287e-20,1.0713038474530032e-25,0.017752049070151783,5.296499076513851e-21,4.67335875992614e-18,1.6633052841610968e-22
28,0.0024826808216467685,2.231337064614313e-10,0.016354391955001855,8.152872598072496e-22,6.263396626551965e-12,8.24959337773087e-20
29,0.009594341324946102,6.398883378318589e-10,0.01014038972893507,2.3366987210253705e-21,1.7961769165254064e-11,2.3527598216952013e-19
30,0.020204001301199894,4.765831375088199e-21,9.05291167953959e-23,3.423855729448057e-24,6.117395573617444e-17,1.2157604605662054e-23
31,0.015723400822484482,0.002018879034002902,5.039146604898965e-09,0.0023334011238138395,5.538136438730233e-10,5.855717054365609e-06
32,0.0030314906798471044,0.007737628431575976,1.931321460287611e-08,0.00894307711051664,2.1225659262465326e-09,2.2442831890371957e-05
33,0.0018915067930897998,0.0072750990121642186,1.2063958693872118e-08,0.010451090971443547,1.4207016768318777e-09,1.4001767257576892e-05
34,0.0008506858650163427,0.006249082583401646,3.7570734889215866e-11,0.012437474047954478,2.4627320214435216e-10,1.293049310131647e-12
35,0.02137965998588605,1.5065554520480598e-24,4.0490655117247266e-22,1.3978569036845817e-10,2.293697664566961e-16,1.6321394740645107e-12
36,0.014460366597463612,1.018978216276338e-24,6.386682357799845e-10,0.0064948878480063825,9.546078516166971e-05,1.1800178357189113e-12
37,1.3224857005729617e-16,9.200504560142187e-30,1.973396553411502e-09,0.020068305247444556,0.0002949606288055093,2.351461168722328e-13
38,9.114627230376357e-12,3.154695045916105e-30,3.6039758881902714e-10,0.00366503570220591,0.01722641949883382,4.2944279696276785e-14
39,0.008617118080060432,1.223956309773244e-20,1.363087361708235e-12,1.0523645825422426e-17,0.011882565502099887,3.323555610001529e-24
40,0.02005600927033705,1.7713023864865412e-20,1.972489836390214e-12,1.523130385168954e-17,1.5820916652312947e-16,5.374398871925904e-15
41,0.02042847272793347,3.921679836826268e-24,1.8774245371401145e-22,8.469291033801933e-21,3.727354860651727e-21,1.4472065493478942e-14
42,0.02074605438658438,6.247211919431959e-13,5.49377248846711e-12,2.7263716545841296e-21,1.0725619590819434e-12,3.9924254008754816e-08
43,0.020651150010881508,3.6739502300992793e-13,3.230865794987928e-12,1.3656673906110292e-12,6.346189075221563e-13,0.00019769912723844102
44,0.02051135669814941,3.81621770713842e-22,2.0917652596812936e-17,3.1521626553415637e-12,8.889246085765745e-15,0.00045626468088662975
45,0.02051135669814941,3.81621770713842e-22,2.0917652596812936e-17,3.1521626553415637e-12,8.889246085765745e-15,0.0004562646808866297
46,0.011661341832764011,0.006299205318266455,0.0026376549028496133,7.868010520559099e-12,1.1537463708704302e-08,4.587721463511341e-05
47,0.010672419717124354,0.007003093791330321,0.002932392856008943,8.394970793376967e-12,1.2826686879818003e-08,1.952427746292018e-08
48,0.0029116439187956418,0.0033170621020954098,0.000800013872543418,0.013634567626566257,3.499370106420645e-09,5.326606860919008e-09
49,3.633388384651467e-14,0.0019341576050184348,8.564086316342579e-14,0.018749907500050324,2.1514604353709502e-16,5.19852247423003e-15
50,3.633388384651467e-14,0.001934157605018435,8.564086316342579e-14,0.018749907500050324,2.1514604353709507e-16,5.19852247423003e-15
51,6.576846387958498e-12,0.0010368054873296313,1.3564527067565431e-11,0.015008344659214672,1.1532910122499082e-16,0.003918023976997212
52,1.4133789889331127e-11,2.785249311393567e-28,2.913810504697585e-11,0.010685322728249156,6.652654604469286e-23,0.008444930058521769
53,1.4133789889331127e-11,2.785249311393567e-28,2.913810504697585e-11,0.010685322728249156,6.652654604469286e-23,0.008444930058521769
54,1.4133789889331129e-11,2.785249311393567e-28,2.913810504697585e-11,0.010685322728249156,6.652654604469286e-23,0.008444930058521769
55,4.493693756228306e-05,1.315703873375306e-10,5.144439450706125e-12,0.006550592220272912,1.1138829578420871e-08,0.005262455922278051
56,5.457178392345226e-05,1.597801616380303e-10,3.9100389056345914e-22,0.005664071956984695,1.3527086349094285e-08,0.004580107265278969
57,5.34434199701478e-05,0.00037986395861598307,3.8292798538428174e-22,0.005546957687197418,1.3247390954658128e-08,0.0044854057992675615
58,3.4689653857199734e-23,0.018371594794385344,4.2374917051616185e-25,2.612363638978674e-22,5.266187004552362e-23,1.2115958755839568e-24
59,3.4689653857199734e-23,0.018371594794385344,4.2374917051616185e-25,2.612363638978674e-22,5.266187004552362e-23,1.2115958755839568e-24
60,3.4689653857199734e-23,0.018371594794385344,4.2374917051616185e-25,2.612363638978674e-22,5.266187004552361e-23,1.2115958755839568e-24
61,1.0832538440250168e-10,0.01769463461706307,0.0014790453969707527,2.124198934120579e-06,8.076602811987199e-10,1.4452104100193045e-19
62,1.1701624618837295e-10,0.017640322625759278,0.001597708064922561,2.2946217712420006e-06,8.724582407218222e-10,1.561157551090065e-19
63,1.1701624618837295e-10,0.017640322625759278,0.001597708064922561,2.2946217712420006e-06,8.724582407218222e-10,1.561157551090065e-19
64,1.1701624618837295e-10,0.017640322625759278,0.001597708064922561,2.2946217712420006e-06,8.724582407218222e-10,1.561157551090065e-19
65,1.1701624618837295e-10,0.017640322625759278,0.001597708064922561,2.2946217712420006e-06,8.724582407218222e-10,1.561157551090065e-19
66,1.0128968920091894e-10,0.01526952755760484,0.0013829819240787544,0.0027600925658383996,7.552030329803544e-10,1.3513436670317847e-19
67,1.2918122886749654e-19,1.5217129110612335e-28,6.083070253200678e-25,0.020522181019152295,6.920558658801752e-20,6.995402520916858e-28
68,1.2918122886749654e-19,1.5217129110612335e-28,6.083070253200678e-25,0.020522181019152295,6.920558658801752e-20,6.995402520916858e-28
69,1.2918122886749654e-19,1.5217129110612335e-28,6.083070253200678e-25,0.020522181019152295,6.920558658801752e-20,6.995402520916858e-28
70,1.2918122886749654e-19,1.5217129110612337e-28,6.083070253200678e-25,0.020522181019152295,6.920558658801752e-20,6.995402520916858e-28
71,8.258135367421722e-18,8.10997500107308e-18,2.6261683094846685e-25,0.0202583508774925,8.798976886742029e-17,6.876586448966616e-10
72,1.418623729379096e-17,1.4024236246286144e-17,1.0519614965683641e-26,0.020065950730517892,1.5210651152200102e-16,1.1891389667208646e-09
73,1.418623729379096e-17,1.4024236246286144e-17,1.0519614965683641e-26,0.020065950730517892,1.5210651152200102e-16,1.1891389667208646e-09
74,1.418623729379096e-17,1.4024236246286144e-17,1.0519614965683641e-26,0.020065950730517892,1.5210651152200102e-16,1.1891389667208646e-09
75,1.418623729379096e-17,1.4024236246286144e-17,1.0519614965683641e-26,0.020065950730517892,1.5210651152200102e-16,1.1891389667208646e-09
76,1.418623729379096e-17,1.4024236246286144e-17,1.0519614965683641e-26,0.020065950730517892,1.5210651152200102e-16,1.1891389667208646e-09
77,1.7093771957510294e-18,1.6335047900503748e-18,4.022599607017602e-25,0.01943806861941288,2.421755967794404e-12,1.3850766373771692e-10
78,6.451782591296785e-20,9.598281599073415e-36,4.539041863454231e-25,0.019355293164251126,2.741002779088932e-12,3.887743117045735e-22
79,6.451782591296785e-20,9.598281599073415e-36,4.539041863454231e-25,0.019355293164251126,2.7410027790889324e-12,3.887743117045735e-22
80,6.451782591296785e-20,9.598281599073415e-36,4.539041863454231e-25,0.019355293164251126,2.741002779088932e-12,3.887743117045735e-22
81,6.451782591296785e-20,9.598281599073415e-36,4.539041863454231e-25,0.019355293164251126,2.7410027790889316e-12,3.887743117045735e-22
82,6.451782591296785e-20,9.598281599073415e-36,4.539041863454231e-25,0.019355293164251126,2.741002779088932e-12,3.887743117045735e-22
83,6.451782591296785e-20,9.598281599073415e-36,4.539041863454231e-25,0.019355293164251126,2.741002779088932e-12,3.8877431170457353e-22
84,6.451782591296785e-20,9.598281599073415e-36,4.539041863454231e-25,0.019355293164251126,2.741002779088932e-12,3.8877431170457353e-22
85,6.451782591296785e-20,9.598281599073415e-36,4.539041863454231e-25,0.019355293164251126,2.7410027790889316e-12,3.887743117045735e-22
86,1.1947810450051226e-21,2.3865839526921802e-26,1.7920008803888032e-24,0.0003584313904179446,0.019333446389128397,1.2059060623582668e-23
87,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
88,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
89,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
90,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
91,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
92,6.613534127736848e-27,2.4316138385739223e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
93,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
94,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
95,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
96,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
97,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
98,6.613534127736848e-27,2.431613838573923e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
99,6.613534127736848e-27,2.4316138385739223e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
100,6.613534127736848e-27,2.431613838573923e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
101,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
102,6.613534127736848e-27,2.4316138385739223e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
103,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
104,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
105,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
106,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
107,6.613534127736848e-27,2.431613838573923e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
108,6.613534127736848e-27,2.4316138385739223e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
109,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
110,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
111,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
112,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
113,6.613534127736848e-27,2.4316138385739226e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
114,6.613534127736848e-27,2.431613838573923e-26,1.817247987823584e-24,3.619467701491887e-11,0.019698228396418726,4.951225697526237e-24
